<1692, 308>
<1384, 923>
<1077, 1844>
<771, 3070>
<466, 4600>
<162, 6433>
<1859, 6574>
<1556, 7016>
<1254, 7758>
<953, 8799>
<653, 10138>
<354, 11774>
<56, 13706>
<1759, 13946>
<1462, 14480>
<1166, 15307>
<871, 16426>
<577, 17836>
<284, 19536>
<1992, 19544>
<1701, 19840>
<1410, 20423>
<1120, 21292>
<831, 22446>
<543, 23884>
<256, 25605>
<1970, 25634>
<1684, 25944>
<1400, 26534>
<1116, 27403>
<834, 28550>
<552, 29974>
<271, 31674>
<1991, 31682>
<1713, 31964>
<1434, 32519>
<1156, 33346>
<880, 34444>
<604, 35812>
<329, 37449>
<55, 39354>
<1783, 39567>
<1510, 40046>
<1238, 40790>
<968, 41798>
<698, 43069>
<429, 44602>
<161, 46396>
<1895, 46498>
<1628, 46859>
<1362, 47478>
<1098, 48354>
<836, 49486>
<573, 50873>
<312, 52514>
<51, 54408>
<1793, 54610>
<1533, 55063>
<1275, 55766>
<1017, 56718>
<760, 57918>
<505, 59365>
<250, 61058>
<1999, 61059>
<1746, 61304>
<1494, 61792>
<1243, 62522>
<993, 63493>
<743, 64704>
<495, 66154>
<247, 67842>
<4, 69767>
<1758, 70000>
<1514, 70468>
<1270, 71170>
<1027, 72105>
<785, 73272>
<544, 74670>
<305, 76298>
<68, 78155>
<1829, 78320>
<1591, 78712>
<1353, 79330>
<1119, 80173>
<886, 81240>
<651, 82530>
<418, 84042>
<187, 85775>
<1955, 85816>
<1727, 86076>
<1498, 86554>
<1271, 87249>
<1043, 88160>
<816, 89286>
<593, 90626>
<369, 92179>
<144, 93944>
<1922, 94017>
<1700, 94300>
<1480, 94792>
<1261, 95492>
<1042, 96399>
<824, 97512>
<610, 98830>
<393, 100352>
<178, 102077>
<1963, 102110>
<1752, 102344>
<1541, 102778>
<1328, 103411>
<1118, 104242>
<910, 105270>
<701, 106494>
<492, 107913>
<288, 109526>
<84, 111332>
<1878, 111446>
<1672, 111751>
<1471, 112246>
<1272, 112930>
<1069, 113802>
<870, 114861>
<672, 116106>
<473, 117536>
<277, 119150>
<83, 120947>
<1887, 121052>
<1691, 121338>
<1501, 121804>
<1309, 122449>
<1117, 123272>
<928, 124272>
<737, 125448>
<550, 126799>
<364, 128324>
<177, 130022>
<1993, 130028>
<1810, 130205>
<1624, 130552>
<1442, 131068>
<1260, 131752>
<1081, 132603>
<903, 133620>
<723, 134802>
<546, 136148>
<372, 137657>
<196, 139328>
<22, 141160>
<1848, 141300>
<1673, 141599>
<1505, 142056>
<1334, 142670>
<1165, 143440>
<995, 144365>
<827, 145444>
<662, 146676>
<496, 148060>
<333, 149595>
<168, 151280>
<8, 153114>
<1845, 153256>
<1682, 153545>
<1527, 153980>
<1367, 154560>
<1208, 155284>
<1052, 156151>
<898, 157160>
<742, 158310>
<590, 159600>
<437, 161029>
<286, 162596>
<134, 164300>
<1984, 164312>
<1838, 164459>
<1689, 164740>
<1547, 165154>
<1398, 165700>
<1252, 166377>
<1110, 167184>
<969, 168120>
<826, 169184>
<687, 170375>
<548, 171692>
<410, 173134>
<272, 174700>
<136, 176389>
<3, 178200>
<1869, 178319>
<1736, 178558>
<1603, 178916>
<1470, 179392>
<1342, 179985>
<1212, 180694>
<1085, 181518>
<958, 182456>
<833, 183507>
<708, 184670>
<585, 185944>
<460, 187328>
<341, 188821>
<219, 190422>
<101, 192130>
<1979, 192146>
<1865, 192267>
<1749, 192492>
<1632, 192820>
<1520, 193250>
<1405, 193781>
<1294, 194412>
<1182, 195142>
<1070, 195970>
<962, 196895>
<855, 197916>
<748, 199032>
<641, 200242>
<534, 201545>
<433, 202940>
<331, 204426>
<228, 206002>
<127, 207667>
<31, 209420>
<1930, 209481>
<1833, 209628>
<1738, 209860>
<1641, 210176>
<1551, 210575>
<1453, 211056>
<1363, 211618>
<1274, 212260>
<1183, 212981>
<1093, 213780>
<1005, 214656>
<920, 215608>
<835, 216635>
<750, 217736>
<666, 218910>
<584, 220156>
<502, 221473>
<422, 222860>
<345, 224316>
<264, 225840>
<190, 227431>
<113, 229088>
<40, 230810>
<1962, 230840>
<1894, 230933>
<1821, 231088>
<1754, 231304>
<1679, 231580>
<1613, 231915>
<1550, 232308>
<1481, 232758>
<1417, 233264>
<1352, 233825>
<1292, 234440>
<1227, 235108>
<1170, 235828>
<1109, 236599>
<1050, 237420>
<994, 238290>
<939, 239208>
<885, 240173>
<829, 241184>
<778, 242240>
<726, 243340>
<677, 244483>
<628, 245668>
<580, 246894>
<530, 248160>
<485, 249465>
<443, 250808>
<399, 252188>
<358, 253604>
<316, 255055>
<275, 256540>
<235, 258058>
<200, 259608>
<160, 261189>
<125, 262800>
<93, 264440>
<61, 266108>
<28, 267803>
<1996, 267806>
<1964, 267834>
<1936, 267886>
<1910, 267961>
<1884, 268058>
<1858, 268176>
<1834, 268314>
<1811, 268471>
<1790, 268646>
<1771, 268838>
<1750, 269046>
<1730, 269269>
<1714, 269506>
<1697, 269756>
<1678, 270018>
<1664, 270291>
<1653, 270574>
<1643, 270866>
<1633, 271166>
<1622, 271473>
<1615, 271786>
<1608, 272104>
<1602, 272426>
<1598, 272751>
<1595, 273078>
<1593, 273406>
<1592, 273734>
<1594, 274061>
<1597, 274386>
<1601, 274708>
<1607, 275026>
<1614, 275339>
<1621, 275646>
<1631, 275946>
<1642, 276238>
<1652, 276521>
<1663, 276794>
<1677, 277056>
<1696, 277306>
<1712, 277543>
<1729, 277766>
<1748, 277974>
<1770, 278166>
<1789, 278341>
<1809, 278498>
<1832, 278636>
<1857, 278754>
<1883, 278851>
<1909, 278926>
<1935, 278978>
<1961, 279006>
<1995, 279009>
<27, 280652>
<60, 282268>
<92, 283856>
<124, 285415>
<159, 286944>
<199, 288442>
<234, 289908>
<274, 291341>
<315, 292740>
<357, 294104>
<398, 295432>
<442, 296723>
<484, 297976>
<529, 299190>
<579, 300364>
<627, 301497>
<676, 302588>
<725, 303636>
<777, 304640>
<828, 305599>
<884, 306512>
<938, 307378>
<992, 308196>
<1049, 308965>
<1108, 309684>
<1169, 310352>
