<1692, 1691>
<1384, 3382>
<1077, 5073>
<771, 6764>
<466, 8455>
<162, 10146>
<1859, 11837>
<1556, 13528>
<1254, 15219>
<953, 16910>
<653, 18601>
<354, 20292>
<56, 21983>
<1759, 23674>
<1462, 25365>
<1166, 27056>
<871, 28747>
<577, 30438>
<284, 32129>
<1992, 33820>
<1701, 35511>
<1410, 37202>
<1120, 38893>
<831, 40584>
<543, 42275>
<256, 43966>
<1970, 45657>
<1684, 47348>
<1400, 49039>
<1116, 50730>
<834, 52421>
<552, 54112>
<271, 55803>
<1991, 57494>
<1713, 59185>
<1434, 60876>
<1156, 62567>
<880, 64258>
<604, 65949>
<329, 67640>
<55, 69331>
<1783, 71022>
<1510, 72713>
<1238, 74404>
<968, 76095>
<698, 77786>
<429, 79477>
<161, 81168>
<1895, 82859>
<1628, 84550>
<1362, 86241>
<1098, 87932>
<836, 89623>
<573, 91314>
<312, 93005>
<51, 94696>
<1793, 96387>
<1533, 98078>
<1275, 99769>
<1017, 101460>
<760, 103151>
<505, 104842>
<250, 106533>
<1999, 108224>
<1746, 109915>
<1494, 111606>
<1243, 113297>
<993, 114988>
<743, 116679>
<495, 118370>
<247, 120061>
<4, 121752>
<1758, 123443>
<1514, 125134>
<1270, 126825>
<1027, 128516>
<785, 130207>
<544, 131898>
<305, 133589>
<68, 135280>
<1829, 136971>
<1591, 138662>
<1353, 140353>
<1119, 142044>
<886, 143735>
<651, 145426>
<418, 147117>
<187, 148808>
<1955, 150499>
<1727, 152190>
<1498, 153881>
<1271, 155572>
<1043, 157263>
<816, 158954>
<593, 160645>
<369, 162336>
<144, 164027>
<1922, 165718>
<1700, 167409>
<1480, 169100>
<1261, 170791>
<1042, 172482>
<824, 174173>
<610, 175864>
<393, 177555>
<178, 179246>
<1963, 180937>
<1752, 182628>
<1541, 184319>
<1328, 186010>
<1118, 187701>
<910, 189392>
<701, 191083>
<492, 192774>
<288, 194465>
<84, 196156>
<1878, 197847>
<1672, 199538>
<1471, 201229>
<1272, 202920>
<1069, 204611>
<870, 206302>
<672, 207993>
<473, 209684>
<277, 211375>
<83, 213066>
<1887, 214757>
<1691, 216448>
<1501, 218139>
<1309, 219830>
<1117, 221521>
<928, 223212>
<737, 224903>
<550, 226594>
<364, 228285>
<177, 229976>
<1993, 231667>
<1810, 233358>
<1624, 235049>
<1442, 236740>
<1260, 238431>
<1081, 240122>
<903, 241813>
<723, 243504>
<546, 245195>
<372, 246886>
<196, 248577>
<22, 250268>
<1848, 251959>
<1673, 253650>
<1505, 255341>
<1334, 257032>
<1165, 258723>
<995, 260414>
<827, 262105>
<662, 263796>
<496, 265487>
<333, 267178>
<168, 268869>
<8, 270560>
<1845, 272251>
<1682, 273942>
<1527, 275633>
<1367, 277324>
<1208, 279015>
<1052, 280706>
<898, 282397>
<742, 284088>
<590, 285779>
<437, 287470>
<286, 289161>
<134, 290852>
<1984, 292543>
<1838, 294234>
<1689, 295925>
<1547, 297616>
<1398, 299307>
<1252, 300998>
<1110, 302689>
<969, 304380>
<826, 306071>
<687, 307762>
<548, 309453>
<410, 311144>
<272, 312835>
<136, 314526>
<3, 316217>
<1869, 317908>
<1736, 319599>
<1603, 321290>
<1470, 322981>
<1342, 324672>
<1212, 326363>
<1085, 328054>
<958, 329745>
<833, 331436>
<708, 333127>
<585, 334818>
<460, 336509>
<341, 338200>
<219, 339891>
<101, 341582>
<1979, 343273>
<1865, 344964>
<1749, 346655>
<1632, 348346>
<1520, 350037>
<1405, 351728>
<1294, 353419>
<1182, 355110>
<1070, 356801>
<962, 358492>
<855, 360183>
<748, 361874>
<641, 363565>
<534, 365256>
<433, 366947>
<331, 368638>
<228, 370329>
<127, 372020>
<31, 373711>
<1930, 375402>
<1833, 377093>
<1738, 378784>
<1641, 380475>
<1551, 382166>
<1453, 383857>
<1363, 385548>
<1274, 387239>
<1183, 388930>
<1093, 390621>
<1005, 392312>
<920, 394003>
<835, 395694>
<750, 397385>
<666, 399076>
<584, 400767>
<502, 402458>
<422, 404149>
<345, 405840>
<264, 407531>
<190, 409222>
<113, 410913>
<40, 412604>
<1962, 414295>
<1894, 415986>
<1821, 417677>
<1754, 419368>
<1679, 421059>
<1613, 422750>
<1550, 424441>
<1481, 426132>
<1417, 427823>
<1352, 429514>
<1292, 431205>
<1227, 432896>
<1170, 434587>
<1109, 436278>
<1050, 437969>
<994, 439660>
<939, 441351>
<885, 443042>
<829, 444733>
<778, 446424>
<726, 448115>
<677, 449806>
<628, 451497>
<580, 453188>
<530, 454879>
<485, 456570>
<443, 458261>
<399, 459952>
<358, 461643>
<316, 463334>
<275, 465025>
<235, 466716>
<200, 468407>
<160, 470098>
<125, 471789>
<93, 473480>
<61, 475171>
<28, 476862>
<1996, 478553>
<1964, 480244>
<1936, 481935>
<1910, 483626>
<1884, 485317>
<1858, 487008>
